"","GEOID","TRACT","PLACE"
"1","10003010800","108","Wilmington, Edgemoor"
"2","10005051007","510.07","Rehoboth Beach"
"3","10005050408","504.08","Blades"
"4","10003014909","149.09","New Castle"
"5","10005050601","506.01","Millsboro"
"6","10003015502","155.02","Wilmington"
"7","10005050103","501.03","Slaughter Beach, Milford"
"8","10003015802","158.02","New Castle"
"9","10003014907","149.07","Bear"
"10","10003011203","112.03","Ardentown"
"11","10005051306","513.06","Fenwick Island"
"12","10005050703","507.03","Millsboro"
"13","10005051204","512.04","South Bethany, Bethany Beach"
"14","10005051202","512.02","Bethany Beach"
"15","10003980100","9801","Wilmington"
"16","10005051203","512.03","Bethany Beach"
"17","10005050407","504.07","Seaford, Bridgeville"
"18","10005050104","501.04","Milford"
"19","10005050902","509.02","Lewes, Rehoboth Beach"
"20","10005050503","505.03","Georgetown"
"21","10005050504","505.04","Georgetown"
"22","10005051005","510.05","Long Neck"
"23","10005050705","507.05","Long Neck"
"24","10005050706","507.06","Long Neck"
"25","10005051205","512.05","Fenwick Island"
"26","10003014906","149.06","Bear"
"27","10003014810","148.10","Glasgow"
"28","10003013903","139.03","Bear"
"29","10003014908","149.08","New Castle"
"30","10005050602","506.02","Millsboro"
"31","10005050501","505.01","Georgetown"
"32","10005051301","513.01","Millville"
"33","10005051302","513.02","Millville, Ocean View"
"34","10005050403","504.03","Seaford, Blades"
"35","10005051702","517.02","Delmar"
"36","10005050801","508.01","Milton"
"37","10005050401","504.01","Seaford"
"38","10005050101","501.01","Milford"
"39","10005051900","519","Delmar"
"40","10005050302","503.02","Greenwood, Bridgeville"
"41","10005050803","508.03","Milton"
"42","10005050200","502","Ellendale"
"43","10005051400","514","Selbyville"
"44","10005051003","510.03","Lewes, Rehoboth Beach"
"45","10005050701","507.01","Millsboro"
"46","10005051500","515","Frankford, Dagsboro"
"47","10005050301","503.01","Greenwood, Bridgeville"
"48","10003014706","147.06","Newark, Brookside"
"49","10003012200","122","Elsmere, Wilmington"
"50","10003016602","166.02","Middletown, St. Georges"
"51","10005051102","511.02","Dewey Beach, Rehoboth Beach"
"52","10003002200","22","Wilmington"
"53","10003013612","136.12","Hockessin, Pike Creek, Pike Creek Valley"
"54","10003011000","110","Bellefonte, Edgemoor"
"55","10003016901","169.01","Smyrna, Clayton"
"56","10003014300","143","Newark"
"57","10003013604","136.04","Pike Creek Valley"
"58","10003014904","149.04","Bear"
"59","10003011800","118","Greenville"
"60","10003013501","135.01","Hockessin"
"61","10003000900","9","Wilmington"
"62","10003000200","2","Wilmington"
"63","10003013613","136.13","Pike Creek, Pike Creek Valley"
"64","10003000500","5","Wilmington"
"65","10003000601","6.01","Wilmington"
"66","10003000602","6.02","Wilmington"
"67","10003001100","11","Wilmington"
"68","10003001300","13","Wilmington"
"69","10003001500","15","Wilmington"
"70","10003001600","16","Wilmington"
"71","10003002300","23","Wilmington"
"72","10003002400","24","Wilmington"
"73","10003000400","4","Wilmington"
"74","10003002600","26","Wilmington"
"75","10003002700","27","Wilmington"
"76","10003010101","101.01","Claymont"
"77","10003010200","102","Ardentown, Claymont"
"78","10003016801","168.01","Townsend, Middletown"
"79","10003012900","129","Newport, Wilmington"
"80","10003016401","164.01","St. Georges"
"81","10003001200","12","Wilmington"
"82","10003010400","104","Claymont"
"83","10003010900","109","Wilmington"
"84","10003011100","111","Ardencroft, Arden, Ardentown"
"85","10003013800","138","Brookside"
"86","10003015000","150","New Castle"
"87","10005051101","511.01","Henlopen Acres, Rehoboth Beach"
"88","10003013610","136.10","Newark"
